dataset,nb_scenarios,P_dropout_pairs,P_dropout_altruistic,rep,time,miprelstop_setting,opt_val,VSS,rel_VSS
30,20,0.05,0.05,7,8.768884420394897,0.05,807.8000000000004,157.84999999999957,0.16346502355926015
30,20,0.05,0.05,8,0.474606990814209,0.05,754.2000000000012,80.80000000000018,0.09676646706586832
30,20,0.05,0.05,9,1.16150164604187,0.05,884.2999999999998,85.84999999999957,0.08849147039117623
30,20,0.075,0.075,0,14.544409990310667,0.05,732.3000000000011,170.90000000000032,0.18921612046058464
30,20,0.075,0.075,1,0.8161106109619141,0.05,720.2000000000014,190.2000000000012,0.20891915641476347
30,20,0.075,0.075,10,1.6785709857940674,0.05,754.4000000000024,126.80000000000156,0.14389468906037337
30,20,0.075,0.075,11,0.4466552734375,0.05,668.6999999999999,258.19999999999965,0.2785629517747327
30,20,0.075,0.075,12,0.7368273735046387,0.05,709.550000000001,275.3500000000008,0.27957153010457947
30,20,0.075,0.075,13,0.6255006790161133,0.05,659.7000000000007,177.75000000000034,0.21225147770016134
30,20,0.075,0.075,14,2.156437635421753,0.05,720.6000000000014,160.75000000000068,0.18239065070630317
30,20,0.075,0.075,15,1.9162280559539795,0.05,719.9500000000008,225.7000000000004,0.23867181303865076
30,20,0.075,0.075,16,1.7524597644805908,0.05,746.9500000000028,23.90000000000225,0.031004735032758766
30,20,0.075,0.075,17,0.6799607276916504,0.05,757.1500000000012,93.50000000000024,0.10991594662904847
30,20,0.075,0.075,18,18.254916667938232,0.05,657.3499999999999,173.4999999999995,0.2088222904254674
30,20,0.075,0.075,19,6.100768327713013,0.05,851.3000000000006,78.65000000000009,0.0845744394859939
30,20,0.075,0.075,2,11.301347017288208,0.05,735.0500000000009,93.89999999999964,0.11327583087037768
30,20,0.075,0.075,20,0.404750108718872,0.05,762.0500000000006,242.90000000000043,0.24170356734165896
30,20,0.075,0.075,21,0.4741337299346924,0.05,749.0500000000027,160.05000000000257,0.17605323946760712
30,20,0.075,0.075,22,4.134453535079956,0.05,686.5500000000004,137.64999999999998,0.16701043436059199
30,20,0.075,0.075,23,20.16015577316284,0.05,680.6500000000007,104.85000000000036,0.13348185868873358
30,20,0.075,0.075,24,1.799213171005249,0.05,772.8000000000011,182.5999999999999,0.19112413648733484
30,20,0.075,0.075,25,1.952089071273804,0.05,774.7000000000015,212.6000000000008,0.21533475134204424
30,20,0.075,0.075,26,0.732133150100708,0.05,748.3000000000019,123.30000000000076,0.14146397430013813
30,20,0.075,0.075,27,31.10130333900452,0.05,701.850000000001,121.95000000000005,0.1480335032774944
30,20,0.075,0.075,28,6.288921356201172,0.05,670.7499999999987,276.5499999999986,0.29193497308138855
30,20,0.075,0.075,29,8.306065320968628,0.05,727.7000000000018,164.8500000000014,0.18469553526413177
30,20,0.075,0.075,3,13.5085346698761,0.05,786.1000000000012,182.54999999999995,0.18845816342332086
30,20,0.075,0.075,4,0.9113936424255372,0.05,805.5500000000019,32.850000000001614,0.039181774809162066
30,20,0.075,0.075,5,18.94560194015503,0.05,674.3999999999993,142.19999999999902,0.1741366642174863
30,20,0.075,0.075,6,0.4258396625518799,0.05,743.6000000000007,200.70000000000027,0.2125383882240814
30,20,0.075,0.075,7,0.7487344741821289,0.05,830.7000000000012,121.35000000000024,0.12746179297305818
30,20,0.075,0.075,8,1.0694568157196045,0.05,782.9000000000012,227.0500000000004,0.22481310955987924
30,20,0.075,0.075,9,0.4490008354187011,0.05,759.1000000000022,151.6500000000011,0.16651111721109038
30,20,0.1,0.1,0,0.4693894386291504,0.05,680.3500000000006,182.20000000000036,0.21123413135470426
30,20,0.1,0.1,1,3.542110681533813,0.05,653.5000000000001,191.1499999999997,0.2263067542769191
30,20,0.1,0.1,10,0.3788473606109619,0.05,716.0000000000014,198.3500000000008,0.21693005960518436
30,20,0.1,0.1,11,4.562859773635864,0.05,634.1500000000002,129.5499999999999,0.1696346733010343
30,20,0.1,0.1,12,1.087566614151001,0.05,700.150000000001,325.7000000000008,0.31749281083979164
30,20,0.1,0.1,13,2.1018378734588623,0.05,711.0500000000009,156.10000000000025,0.18001499163927814
30,20,0.1,0.1,14,1.8444828987121584,0.05,622.3,119.29999999999968,0.1608683926645088
30,20,0.1,0.1,15,0.6695668697357178,0.05,660.05,162.5499999999996,0.19760515438852383
30,20,0.1,0.1,16,0.8324441909790039,0.05,667.2500000000003,323.5000000000002,0.3265203128942721
30,20,0.1,0.1,17,6.946945905685425,0.05,558.9999999999665,226.5999999999664,0.2884419551934646
